QtBid,QBids,QPDCID,QPDFrom,QPDTo,QPDMax
226431,753886,1544,-1,-1,18.135
226431,753887,1544,-1,-1,18.135
226431,753888,1544,-1,-1,18.135
226431,753889,1544,-1,-1,18.135
226432,753890,1545,-1,-1,11.61
226432,753891,1545,-1,-1,11.61
226432,753892,1545,-1,-1,11.61
226432,753893,1545,-1,-1,11.61
226433,753894,1546,-1,-1,8.19
226433,753895,1546,-1,-1,8.19
226433,753896,1546,-1,-1,8.19
226433,753897,1546,-1,-1,8.19
226434,753898,1547,-1,-1,15.75
226434,753899,1547,-1,-1,15.75
226434,753900,1547,-1,-1,15.75
226434,753901,1547,-1,-1,15.75
226435,753902,1548,-1,-1,67.5
226435,753903,1548,-1,-1,67.5
226435,753904,1548,-1,-1,67.5
226435,753905,1548,-1,-1,67.5
226436,753906,1549,-1,-1,3.33
226436,753907,1549,-1,-1,3.33
226436,753908,1549,-1,-1,3.33
226436,753909,1549,-1,-1,3.33
226437,753910,1550,-1,-1,7.875
226437,753911,1550,-1,-1,7.875
226437,753912,1550,-1,-1,7.875
226437,753913,1550,-1,-1,7.875
226438,753914,1551,-1,-1,26.46
226438,753915,1551,-1,-1,26.46
226438,753916,1551,-1,-1,26.46
226438,753917,1551,-1,-1,26.46
226439,753918,1552,-1,-1,13.545
226439,753919,1552,-1,-1,13.545
226439,753920,1552,-1,-1,13.545
226439,753921,1552,-1,-1,13.545
226440,753922,1553,-1,-1,2.925
226440,753923,1553,-1,-1,2.925
226440,753924,1553,-1,-1,2.925
226440,753925,1553,-1,-1,2.925
226441,753926,1554,-1,-1,1.935
226441,753927,1554,-1,-1,1.935
226441,753928,1554,-1,-1,1.935
226441,753929,1554,-1,-1,1.935
226428,753874,1541,-1,-1,198
226428,753875,1541,-1,-1,198
226428,753876,1541,-1,-1,198
226428,753877,1541,-1,-1,198
226442,753930,1555,-1,-1,5.94
226442,753931,1555,-1,-1,5.94
226442,753932,1555,-1,-1,5.94
226442,753933,1555,-1,-1,5.94
226443,753934,1556,-1,-1,12.015
226443,753935,1556,-1,-1,12.015
226443,753936,1556,-1,-1,12.015
226443,753937,1556,-1,-1,12.015
226444,753938,1557,-1,-1,7.965
226444,753939,1557,-1,-1,7.965
226444,753940,1557,-1,-1,7.965
226444,753941,1557,-1,-1,7.965
226445,753942,1558,-1,-1,8.865
226445,753943,1558,-1,-1,8.865
226445,753944,1558,-1,-1,8.865
226445,753945,1558,-1,-1,8.865
226446,753946,1559,-1,-1,7.47
226446,753947,1559,-1,-1,7.47
226446,753948,1559,-1,-1,7.47
226446,753949,1559,-1,-1,7.47
226447,753950,1560,-1,-1,13.545
226447,753951,1560,-1,-1,13.545
226447,753952,1560,-1,-1,13.545
226447,753953,1560,-1,-1,13.545
226448,753954,1561,-1,-1,1.44
226448,753955,1561,-1,-1,1.44
226448,753956,1561,-1,-1,1.44
226448,753957,1561,-1,-1,1.44
226449,753958,1562,-1,-1,4.14
226449,753959,1562,-1,-1,4.14
226449,753960,1562,-1,-1,4.14
226449,753961,1562,-1,-1,4.14
226450,753962,1563,-1,-1,6.84
226450,753963,1563,-1,-1,6.84
226450,753964,1563,-1,-1,6.84
226450,753965,1563,-1,-1,6.84
226451,753966,1564,-1,-1,7.56
226451,753967,1564,-1,-1,7.56
226451,753968,1564,-1,-1,7.56
226451,753969,1564,-1,-1,7.56
226452,753970,1565,-1,-1,17.055
226452,753971,1565,-1,-1,17.055
226452,753972,1565,-1,-1,17.055
226452,753973,1565,-1,-1,17.055
226453,753974,1566,-1,-1,5.67
226453,753975,1566,-1,-1,5.67
226453,753976,1566,-1,-1,5.67
226453,753977,1566,-1,-1,5.67
226454,753978,1567,-1,-1,7.605
226454,753979,1567,-1,-1,7.605
226454,753980,1567,-1,-1,7.605
226454,753981,1567,-1,-1,7.605
226455,753982,1568,-1,-1,19.125
226455,753983,1568,-1,-1,19.125
226455,753984,1568,-1,-1,19.125
226455,753985,1568,-1,-1,19.125
226456,753986,1569,-1,-1,5.805
226456,753987,1569,-1,-1,5.805
226456,753988,1569,-1,-1,5.805
226456,753989,1569,-1,-1,5.805
226457,753990,1570,-1,-1,31.95
226457,753991,1570,-1,-1,31.95
226457,753992,1570,-1,-1,31.95
226457,753993,1570,-1,-1,31.95
226458,753994,1571,-1,-1,15.165
226458,753995,1571,-1,-1,15.165
226458,753996,1571,-1,-1,15.165
226458,753997,1571,-1,-1,15.165
226459,753998,1572,-1,-1,18.585
226459,753999,1572,-1,-1,18.585
226459,754000,1572,-1,-1,18.585
226459,754001,1572,-1,-1,18.585
226460,754002,1573,-1,-1,2.835
226460,754003,1573,-1,-1,2.835
226460,754004,1573,-1,-1,2.835
226460,754005,1573,-1,-1,2.835
226461,754006,1574,-1,-1,16.965
226461,754007,1574,-1,-1,16.965
226461,754008,1574,-1,-1,16.965
226461,754009,1574,-1,-1,16.965
226462,754010,1575,-1,-1,54.45
226462,754011,1575,-1,-1,54.45
226462,754012,1575,-1,-1,54.45
226462,754013,1575,-1,-1,54.45
226463,754014,1576,-1,-1,5.67
226463,754015,1576,-1,-1,5.67
226463,754016,1576,-1,-1,5.67
226463,754017,1576,-1,-1,5.67
226464,754018,1577,-1,-1,9.315
226464,754019,1577,-1,-1,9.315
226464,754020,1577,-1,-1,9.315
226464,754021,1577,-1,-1,9.315
226465,754022,1578,-1,-1,0.54
226465,754023,1578,-1,-1,0.54
226465,754024,1578,-1,-1,0.54
226465,754025,1578,-1,-1,0.54
226466,754026,1579,-1,-1,13.23
226466,754027,1579,-1,-1,13.23
226466,754028,1579,-1,-1,13.23
226466,754029,1579,-1,-1,13.23
226467,754030,1580,-1,-1,3.465
226467,754031,1580,-1,-1,3.465
226467,754032,1580,-1,-1,3.465
226467,754033,1580,-1,-1,3.465
226468,754034,1581,-1,-1,18.63
226468,754035,1581,-1,-1,18.63
226468,754036,1581,-1,-1,18.63
226468,754037,1581,-1,-1,18.63
226469,754038,1582,-1,-1,40.05
226469,754039,1582,-1,-1,40.05
226469,754040,1582,-1,-1,40.05
226469,754041,1582,-1,-1,40.05
226470,754042,1583,-1,-1,4.365
226470,754043,1583,-1,-1,4.365
226470,754044,1583,-1,-1,4.365
226470,754045,1583,-1,-1,4.365
226471,754046,1584,-1,-1,8.28
226471,754047,1584,-1,-1,8.28
226471,754048,1584,-1,-1,8.28
226471,754049,1584,-1,-1,8.28
226472,754050,1585,-1,-1,4.32
226472,754051,1585,-1,-1,4.32
226472,754052,1585,-1,-1,4.32
226472,754053,1585,-1,-1,4.32
226473,754054,1586,-1,-1,33.93
226473,754055,1586,-1,-1,33.93
226473,754056,1586,-1,-1,33.93
226473,754057,1586,-1,-1,33.93
226474,754058,1587,-1,-1,18.765
226474,754059,1587,-1,-1,18.765
226474,754060,1587,-1,-1,18.765
226474,754061,1587,-1,-1,18.765
226475,754062,1588,-1,-1,1.08
226475,754063,1588,-1,-1,1.08
226475,754064,1588,-1,-1,1.08
226475,754065,1588,-1,-1,1.08
226476,754066,1589,-1,-1,0.54
226476,754067,1589,-1,-1,0.54
226476,754068,1589,-1,-1,0.54
226476,754069,1589,-1,-1,0.54
226477,754070,1590,-1,-1,1.89
226477,754071,1590,-1,-1,1.89
226477,754072,1590,-1,-1,1.89
226477,754073,1590,-1,-1,1.89
226478,754074,1591,-1,-1,11.7
226478,754075,1591,-1,-1,11.7
226478,754076,1591,-1,-1,11.7
226478,754077,1591,-1,-1,11.7
226479,754078,1592,-1,-1,24.075
226479,754079,1592,-1,-1,24.075
226479,754080,1592,-1,-1,24.075
226479,754081,1592,-1,-1,24.075
226480,754082,1593,-1,-1,9
226480,754083,1593,-1,-1,9
226480,754084,1593,-1,-1,9
226480,754085,1593,-1,-1,9
226481,754086,1594,-1,-1,6.165
226481,754087,1594,-1,-1,6.165
226481,754088,1594,-1,-1,6.165
226481,754089,1594,-1,-1,6.165
226482,754090,1595,-1,-1,2.385
226482,754091,1595,-1,-1,2.385
226482,754092,1595,-1,-1,2.385
226482,754093,1595,-1,-1,2.385
226483,754094,1596,-1,-1,9.36
226483,754095,1596,-1,-1,9.36
226483,754096,1596,-1,-1,9.36
226483,754097,1596,-1,-1,9.36
226484,754098,1597,-1,-1,1.845
226484,754099,1597,-1,-1,1.845
226484,754100,1597,-1,-1,1.845
226484,754101,1597,-1,-1,1.845
226485,754102,1598,-1,-1,21.96
226485,754103,1598,-1,-1,21.96
226485,754104,1598,-1,-1,21.96
226485,754105,1598,-1,-1,21.96
226486,754106,1599,-1,-1,17.64
226486,754107,1599,-1,-1,17.64
226486,754108,1599,-1,-1,17.64
226486,754109,1599,-1,-1,17.64
226487,754110,1600,-1,-1,15.12
226487,754111,1600,-1,-1,15.12
226487,754112,1600,-1,-1,15.12
226487,754113,1600,-1,-1,15.12
226488,754114,1601,-1,-1,6.93
226488,754115,1601,-1,-1,6.93
226488,754116,1601,-1,-1,6.93
226488,754117,1601,-1,-1,6.93
226489,754118,1602,-1,-1,12.06
226489,754119,1602,-1,-1,12.06
226489,754120,1602,-1,-1,12.06
226489,754121,1602,-1,-1,12.06
226490,754122,1603,-1,-1,12.015
226490,754123,1603,-1,-1,12.015
226490,754124,1603,-1,-1,12.015
226490,754125,1603,-1,-1,12.015
226491,754126,1604,-1,-1,10.575
226491,754127,1604,-1,-1,10.575
226491,754128,1604,-1,-1,10.575
226491,754129,1604,-1,-1,10.575
226492,754130,1605,-1,-1,0.585
226492,754131,1605,-1,-1,0.585
226492,754132,1605,-1,-1,0.585
226492,754133,1605,-1,-1,0.585
226493,754134,1606,-1,-1,5.94
226493,754135,1606,-1,-1,5.94
226493,754136,1606,-1,-1,5.94
226493,754137,1606,-1,-1,5.94
226494,754138,1607,-1,-1,6.93
226494,754139,1607,-1,-1,6.93
226494,754140,1607,-1,-1,6.93
226494,754141,1607,-1,-1,6.93
226429,753878,1542,-1,-1,180.9
226429,753879,1542,-1,-1,180.9
226429,753880,1542,-1,-1,180.9
226429,753881,1542,-1,-1,180.9
226430,753882,1543,-1,-1,175.5
226430,753883,1543,-1,-1,175.5
226430,753884,1543,-1,-1,175.5
226430,753885,1543,-1,-1,175.5
226495,754142,1608,-1,-1,27
226495,754143,1608,-1,-1,27
226495,754144,1608,-1,-1,27
226495,754145,1608,-1,-1,27
226496,754146,1609,-1,-1,0.72
226496,754147,1609,-1,-1,0.72
226496,754148,1609,-1,-1,0.72
226496,754149,1609,-1,-1,0.72
226497,754150,1610,-1,-1,8.595
226497,754151,1610,-1,-1,8.595
226497,754152,1610,-1,-1,8.595
226497,754153,1610,-1,-1,8.595